Date,State,District,Maximum Temp(Celsius),Maximum Temp Departure from Normal(Celsius),Minimum Temp(Celsius),Minimum Temp Departure from Normal(Celsius),24 Hours Rainfall (mm),Relative Humidity at 0830 hrs (%),Relative Humidity at 1730 hrs (%),Todays Sunset (IST),Tommorows Sunrise (IST),Moonset (IST),Moonrise (IST)
2018-07-02,Andaman and Nicobar,Nicobar Islands,30.2,1.0,23.2,-1.0,13.9,95.0,89.0,0 days 17:47:00.000000000,0 days 04:59:00.000000000,0 days 08:07:00.000000000,0 days 20:56:00.000000000
2018-07-02,Andaman and Nicobar,North and Middle Andaman,30.2,1.0,23.2,-1.0,13.9,95.0,89.0,0 days 17:47:00.000000000,0 days 04:59:00.000000000,0 days 08:07:00.000000000,0 days 20:56:00.000000000
2018-07-02,Andaman and Nicobar,South Andaman,30.2,1.0,23.2,-1.0,13.9,95.0,89.0,0 days 17:47:00.000000000,0 days 04:59:00.000000000,0 days 08:07:00.000000000,0 days 20:56:00.000000000
2018-07-02,Andhra Pradesh,Anantapur,35.4,0.0,25.0,0.0,,77.0,39.0,0 days 18:46:00.000000000,0 days 05:49:00.000000000,0 days 09:06:00.000000000,0 days 22:01:00.000000000
2018-07-02,Andhra Pradesh,Chittoor,34.8,-2.0,26.1,-1.0,,62.0,52.0,0 days 18:43:00.000000000,0 days 05:48:00.000000000,0 days 08:59:00.000000000,0 days 21:52:00.000000000
2018-07-02,Andhra Pradesh,East Godavari,30.8,-3.0,27.0,0.0,,84.0,76.0,0 days 18:39:00.000000000,0 days 05:31:00.000000000,0 days 08:44:00.000000000,0 days 21:45:00.000000000
2018-07-02,Andhra Pradesh,Guntur,31.0,-4.0,26.5,1.0,1.0,78.0,78.0,0 days 18:44:00.000000000,0 days 05:38:00.000000000,0 days 08:51:00.000000000,0 days 21:50:00.000000000
2018-07-02,Andhra Pradesh,Krishna,32.25,-2.5,26.5,-0.5,1.0,73.5,67.0,0 days 18:42:30.000000000,0 days 05:42:30.000000000,0 days 08:54:30.000000000,0 days 21:50:00.000000000
2018-07-02,Andhra Pradesh,Kurnool,35.6,1.0,27.0,0.0,,64.0,40.0,0 days 18:53:00.000000000,0 days 05:50:00.000000000,0 days 09:03:00.000000000,0 days 22:01:00.000000000
2018-07-02,Andhra Pradesh,Nellore,33.9,-3.0,27.4,-1.0,0.3,69.0,59.0,0 days 18:43:00.000000000,0 days 05:45:00.000000000,0 days 08:57:00.000000000,0 days 21:51:00.000000000
2018-07-02,Andhra Pradesh,Prakasam,,,27.3,-1.0,0.4,63.0,,0 days 18:45:00.000000000,0 days 05:43:00.000000000,0 days 08:06:00.000000000,0 days 21:11:00.000000000
2018-07-02,Andhra Pradesh,Srikakulam,31.7,0.0,26.6,0.0,,83.0,81.0,0 days 18:34:00.000000000,0 days 05:21:00.000000000,0 days 08:35:00.000000000,0 days 21:39:00.000000000
2018-07-02,Andhra Pradesh,Visakhapatnam,31.3,-1.0,27.0,0.0,0.7,79.0,88.0,0 days 18:36:00.000000000,0 days 05:26:00.000000000,0 days 08:39:00.000000000,0 days 21:41:00.000000000
2018-07-02,Andhra Pradesh,Vizianagaram,31.3,-1.0,27.0,0.0,0.7,79.0,88.0,0 days 18:36:00.000000000,0 days 05:26:00.000000000,0 days 08:39:00.000000000,0 days 21:41:00.000000000
2018-07-02,Andhra Pradesh,West Godavari,31.0,-4.0,26.5,1.0,1.0,78.0,78.0,0 days 18:44:00.000000000,0 days 05:38:00.000000000,0 days 08:51:00.000000000,0 days 21:50:00.000000000
2018-07-02,Andhra Pradesh,Y.S.R.,36.0,0.0,26.0,0.0,,81.0,69.0,0 days 18:47:00.000000000,0 days 05:50:00.000000000,0 days 09:02:00.000000000,0 days 21:56:00.000000000
2018-07-02,Arunachal Pradesh,Anjaw,24.6,-5.0,23.2,0.0,150.8,98.0,,,,,
2018-07-02,Arunachal Pradesh,Changlang,28.5,,22.0,,13.0,99.0,87.0,,,,
2018-07-02,Arunachal Pradesh,Dibang Valley,24.6,-5.0,23.2,0.0,150.8,98.0,,,,,
2018-07-02,Arunachal Pradesh,East Kameng,30.8,,24.0,,52.2,93.0,82.0,0 days 18:13:00.000000000,0 days 04:25:00.000000000,0 days 07:43:00.000000000,0 days 21:09:00.000000000
2018-07-02,Arunachal Pradesh,East Siang,24.6,-5.0,23.2,0.0,150.8,98.0,,,,,
